,Message,Actual,Predictions
668,Xy trying smth now. U eat already? We havent...,ham,ham
669,I will come with karnan car. Please wait till 6pm will directly goto doctor.,ham,ham
670,Jus came back fr lunch wif my sis only. U leh?,ham,ham
671,Maybe you should find something else to do instead???,ham,ham
672,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,spam
673,Pls go there today  &lt;#&gt; . I dont want any excuses,ham,ham
674,Hmm ill have to think about it... ok you're forgiven! =D,ham,ham
675,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",ham,ham
676,Me n him so funny...,ham,ham
677,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam,ham
678,"Sorry, I'll call later In meeting.",ham,ham
679,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,ham
680,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",spam,spam
681,"It's cool, we can last a little while. Getting more any time soon?",ham,ham
682,Are u awake? Is there snow there?,ham,ham
683,So ü'll be submitting da project tmr rite?,ham,ham
684,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham,ham
685,Or just do that 6times,ham,ham
686,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,ham,ham
687,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham,ham
688,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,ham,ham
689,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham,ham
690,Then ur physics get a-?,ham,ham
691,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",ham,ham
692,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",ham,ham
693,You do your studies alone without anyones help. If you cant no need to study.,ham,ham
694,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",ham,ham
695,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",ham,ham
696,Also that chat was awesome but don't make it regular unless you can see her in person,ham,ham
697,I want to be inside you every night...,ham,ham
698,"Just sent you an email – to an address with incomm in it, is that right?",ham,ham
699,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,ham,ham
700,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,ham,ham
701,Ok lor...,ham,ham
702,"Night night, see you tomorrow",ham,ham
703,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),ham,ham
704,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,spam,spam
705,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,ham,ham
706,COME BACK TO TAMPA FFFFUUUUUUU,ham,ham
707,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham,ham
708,Not course. Only maths one day one chapter with in one month we can finish.,ham,ham
709,Prabha..i'm soryda..realy..frm heart i'm sory,ham,ham
710,Am i that much dirty fellow?,ham,ham
711,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham,ham
712,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,ham,ham
713,Boy you best get yo ass out here quick,ham,ham
714,Sent me ur email id soon,ham,ham
715,Ya very nice. . .be ready on thursday,ham,ham
716,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham,ham
717,Then. You are eldest know.,ham,ham
718,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,ham,ham
719,"Sorry, I can't text &amp; drive coherently, see you in twenty",ham,ham
720,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,ham,ham
721,No shoot me. I'm in the docs waiting room. :/,ham,ham
722,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",ham,ham
723,Yup... How ü noe leh...,ham,ham
724,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,ham,ham
725,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,spam,ham
726,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,spam,spam
727,Dun need to use dial up juz open da browser n surf...,ham,ham
728,He's just gonna worry for nothing. And he won't give you money its no use.,ham,ham
729,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck.",spam,ham
730,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham,ham
731,I.ll post her out l8r. In class,ham,ham
732,Jay is snickering and tells me that x is totally fucking up the chords as we speak,ham,ham
733,So wats ur opinion abt him and how abt is character?,ham,ham
734,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham,ham
735,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,ham,ham
736,I had it already..sabarish asked me to go..,ham,ham
737,Ya but it cant display internal subs so i gotta extract them,ham,ham
738,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,ham
739,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,ham,ham
740,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,ham
741,I knew it... U slept v late yest? Wake up so late...,ham,ham
742,I tot u reach liao. He said t-shirt.,ham,ham
743,"I can't, I don't have her number!",ham,ham
744,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",ham,ham
745,"Aight, see you in a bit",ham,ham
746,I'm already back home so no probably not,ham,ham
747,Happy birthday... May all ur dreams come true...,ham,ham
748,I will spoil you in bed as well :),ham,ham
749,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,spam,spam
750,Wat r u doing?,ham,ham
751,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,ham,ham
752,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,ham,ham
753,I have no money 4 steve mate! !,ham,ham
754,Leave it. U will always be ignorant.,ham,ham
755,"K give me a sec, breaking a  &lt;#&gt;  at cstore",ham,ham
756,You still around? I could use a half-8th,ham,ham
757,Ok lor wat time ü finish?,ham,ham
758,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,ham
759,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,ham,ham
760,Great! I have to run now so ttyl!,ham,ham
761,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,ham
762,Sorry da..today i wont come to play..i have driving clas..,ham,ham
763,He dint tell anything. He is angry on me that why you told to abi.,ham,ham
764,Asking do u knw them or nt? May be ur frnds or classmates?,ham,ham
765,I'm leaving my house now...,ham,ham
766,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham,ham
767,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham,ham
768,Having lunch:)you are not in online?why?,ham,ham
769,S..antha num corrct dane,ham,ham
770,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,ham,ham
771,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,ham,ham
772,"Yes but i dont care! I need you bad, princess!",ham,ham
773,Please sen :)my kind advice :-)please come here and try:-),ham,ham
774,"Just wondering, the others just took off",ham,ham
775,Waaaat?? Lololo ok next time then!,ham,ham
776,Ok... Then r we meeting later?,ham,ham
777,Staff of placement training in Amrita college.,ham,ham
778,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,ham,ham
779,"Oh... Icic... K lor, den meet other day...",ham,ham
780,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,ham,ham
781,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,spam
782,You should get more chicken broth if you want ramen unless there's some I don't know about,ham,ham
783,Mm you ask him to come its enough :-),ham,ham
784,Gud mrng dear hav a nice day,ham,ham
785,Sos! Any amount i can get pls.,ham,ham
786,My uncles in Atlanta. Wish you guys a great semester.,ham,ham
787,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham,ham
788,Package all your programs well,ham,ham
789,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",ham,ham
790,"Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But, its a miracle to Love a person who can't Love anyone except U... Gud nyt...",ham,ham
791,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),ham,ham
792,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham,ham
793,Filthy stories and GIRLS waiting for your,spam,ham
794,Will be office around 4 pm. Now i am going hospital.,ham,ham
795,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham,ham
796,Keep my payasam there if rinu brings,ham,ham
797,See the forwarding message for proof,ham,ham
798,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",ham,ham
799,Of course. I guess god's just got me on hold right now.,ham,ham
800,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,spam,spam
801,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,ham,ham
802,Does daddy have a bb now.,ham,ham
803,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham,ham
804,You call him now ok i said call him,ham,ham
805,She's fine. Sends her greetings,ham,ham
806,Please da call me any mistake from my side sorry da. Pls da goto doctor.,ham,ham
807,I know you are. Can you pls open the back?,ham,ham
808,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...",ham,ham
809,Ü all write or wat..,ham,ham
810,Yeah no probs - last night is obviously catching up with you... Speak soon ,ham,ham
811,"Nah can't help you there, I've never had an iphone",ham,ham
812,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,ham,ham
813,Tell rob to mack his gf in the theater,ham,ham
814,"Probably not, I'm almost out of gas and I get some cash tomorrow",ham,ham
815,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam,spam
816,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam,spam
817,Good evening! How are you?,ham,ham
818,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,ham,ham
819,"K, wat s tht incident?",ham,ham
820,Ugh just got outta class,ham,ham
821,Were trying to find a Chinese food place around here,ham,ham
822,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,spam,spam
823,Still otside le..u come 2morrow maga..,ham,ham
824,Cuz ibored. And don wanna study,ham,ham
825,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",ham,ham
826,Yeah sure I'll leave in a min,ham,ham
827,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",ham,ham
828,"Haha figures, well I found the piece and priscilla's bowl",ham,ham
829,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,ham,ham
830,That was random saw my old roomate on campus. He graduated,ham,ham
831,I will be outside office take all from there,ham,ham
832,"Sir, I need AXIS BANK account no and bank address.",ham,ham
833,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,ham
834,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",spam,spam
835,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,spam,spam
836,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,spam,spam
837,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,spam
838,Mm so you asked me not to call radio,ham,ham
839,I cant pick the phone right now. Pls send a message,ham,ham
840,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,ham
841,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,ham,ham
842,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,spam
843,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham,ham
844,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham,ham
845,Tiwary to rcb.battle between bang and kochi.,ham,ham
846,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,spam,ham
847,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,ham,ham
848,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,ham,ham
849,You still coming tonight?,ham,ham
850,Ok ok take care. I can understand.,ham,ham
851,Just sleeping..and surfing,ham,ham
852,"Not really dude, have no friends i'm afraid :(",ham,ham
853,The battery is for mr adewale my uncle. Aka Egbon,ham,ham
854,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,spam
855,Now only i reached home. . . I am very tired now. . I will come tomorro,ham,ham
856,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham,ham
857,Yup i've finished c ü there...,ham,ham
858,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,ham,ham
859,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham,ham
860,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,spam,spam
861,Update your face book status frequently :),ham,ham
862,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham,ham
863,I'm really sorry I lit your hair on fire,ham,ham
864,Then ü come n pick me at 530 ar?,ham,ham
865,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham,ham
866,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,ham,ham
867,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,ham,ham
868,MMM ... Fuck .... Merry Christmas to me,ham,ham
869,I'm at home n ready...,ham,ham
870,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,spam,spam
871,Where is it. Is there any opening for mca.,ham,ham
872,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,ham,ham
873,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,ham,ham
874,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",ham,ham
875,Tell dear what happen to you. Why you talking to me like an alian,ham,ham
876,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",ham,ham
877,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham,ham
878,When u wana see it then,ham,ham
879,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",ham,ham
880,You know what hook up means right?,ham,ham
881,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham,ham
882,88066 FROM 88066 LOST 3POUND HELP,spam,ham
883,Ok then i will come to ur home after half an hour,ham,ham
884,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam,spam
885,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham,ham
886,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",ham,ham
887,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,ham,ham
888,Ok then u tell me wat time u coming later lor.,ham,ham
889,"Nah, Wednesday. When should I bring the mini cheetos bag over?",ham,ham
890,X course it 2yrs. Just so her messages on messenger lik you r sending me,ham,ham
891,"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham,ham
892,Thanks for sending this mental ability question..,ham,ham
893,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx,ham,ham
894,I want to go to perumbavoor,ham,ham
895,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ham,ham
896,Then why you not responding,ham,ham
897,That sucks. I'll go over so u can do my hair. You'll do it free right?,ham,ham
898,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham,ham
899,"Probably, want to pick up more?",ham,ham
900,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,spam
901,Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham,ham
902,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham,ham
903,What your plan for pongal?,ham,ham
904,I notice you like looking in the shit mirror youre turning into a right freak,ham,ham
905,U sure u can't take any sick time?,ham,ham
906,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ham
907,Ü called dad oredi...,ham,ham
908,Ok. C u then.,ham,ham
909,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),ham,ham
910,I am on the way to tirupur.,ham,ham
911,Ok i go change also...,ham,ham
912,3 pa but not selected.,ham,ham
913,Oh ok wait 4 me there... My lect havent finish,ham,ham
914,"If e timing can, then i go w u lor...",ham,ham
915,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",ham,ham
916,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",ham,ham
917,S:)no competition for him.,ham,ham
918,If u sending her home first it's ok lor. I'm not ready yet.,ham,ham
919,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear..",ham,ham
920,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",ham,ham
921,You didnt complete your gist oh.,ham,ham
922,I accidentally brought em home in the box,ham,ham
923,I accidentally deleted the message. Resend please.,ham,ham
924,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",ham,ham
925,Was the actual exam harder than NBME,ham,ham
926,o turns out i had stereo love on mi phone under the unknown album.,ham,ham
927,Aight ill get on fb in a couple minutes,ham,ham
928,"Sorry,in meeting I'll call later",ham,ham
929,Even if he my friend he is a priest call him now,ham,ham
930,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham,ham
931,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",ham,ham
932,Infact happy new year. How are you where are you when are we seeing,ham,ham
933,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,ham,ham
934,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,ham,ham
935,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,ham,ham
936,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,ham
937,I keep ten rs in my shelf:) buy two egg.,ham,ham
938,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,ham,ham
939,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,spam,ham
940,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,ham,ham
941,"Fair enough, anything going on?",ham,ham
942,Sure! I am driving but will reach my destination soon.,ham,ham
943,Sorry completely forgot * will pop em round this week if your still here?,ham,ham
944,Oh sorry please its over,ham,ham
945,Erm. I thought the contract ran out the4th of october.,ham,ham
946,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,ham,ham
947,Still in the area of the restaurant. Ill try to come back soon,ham,ham
948,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",ham,ham
949,i dnt wnt to tlk wid u,ham,ham
950,How many licks does it take to get to the center of a tootsie pop?,ham,ham
951,All day working day:)except saturday and sunday..,ham,ham
952,Can do lor...,ham,ham
953,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",spam,spam
954,Happy New Year Princess!,ham,ham
955,I'm not coming home 4 dinner.,ham,ham
956,Yeah that'd pretty much be the best case scenario,ham,ham
957,Any way where are you and what doing.,ham,ham
958,Ü go home liao? Ask dad to pick me up at 6...,ham,ham
959,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham,ham
960,I not busy juz dun wan 2 go so early.. Hee.. ,ham,ham
961,So what do you guys do.,ham,ham
962,Oh k.k..where did you take test?,ham,ham
963,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,ham
964,"That's what I love to hear :V see you sundayish, then",ham,ham
965,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham,ham
966,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,ham,ham
967,I'm vivek:)i got call from your number.,ham,ham
968,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,ham
969,She ran off with a younger man. we will make pretty babies together :),ham,ham
970,Hey what are you doing. Y no reply pa..,ham,ham
971,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,ham,ham
972,I am in office:)whats the matter..msg me now.i will call you at break:).,ham,ham
973,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam,ham
974,Id have to check but there's only like 1 bowls worth left,ham,ham
975,You will be in the place of that man,ham,ham
976,Today my system sh get ready.all is well and i am also in the deep well,ham,ham
977,In meeting da. I will call you,ham,ham
978,Dear good morning how you feeling dear,ham,ham
979,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham,ham
980,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,spam
981,I dont want to hear anything,ham,ham
982,Gam gone after outstanding innings.,ham,ham
983,Yep get with the program. You're slacking.,ham,ham
984,Pete can you please ring meive hardly gotany credit,ham,ham
985,Have you seen who's back at Holby?!,ham,ham
986,cool. We will have fun practicing making babies!,ham,ham
987,Yup...,ham,ham
988,"I‘ll leave around four, ok?",ham,ham
989,Hey i've booked the 2 lessons on sun liao...,ham,ham
990,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,ham,ham
991,Shall i come to get pickle,ham,ham
992,"Only just got this message, not ignoring you. Yes, i was. Shopping that is",ham,ham
993,Also are you bringing galileo or dobby,ham,ham
994,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",ham,ham
995,Life style garments account no please.,ham,ham
996,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham,ham
997,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50",spam,ham
998,Oh ok..,ham,ham
999,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",ham,ham
1000,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",ham,ham
1001,Oh... Okie lor...We go on sat... ,ham,ham
1002,I cant pick the phone right now. Pls send a message,ham,ham
1003,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam,spam
1004,That seems unnecessarily hostile,ham,ham
